original, substitute
Golden Wings,	Guld
Golden rod,	Guld
Goldie,	Guld
Gorgeous Grey,	Grå
Gorgeous grey,	Grå
Granite,	Grå
Granite Black,	Svart
Granite Gray,	Grå
Granite Melange,	Grå
Grape,	Grå
Grapeade,	Violett
Graphite,	Grå
Graphite Marble,	Grå
Gray Flannel,	Grå
Gray Mist,	Grå
Gray dawn,	Grå
Green,	Grön
Green Aurora,	Grön
Green Bay,	Grön
Green Fish,	Grön
Green Forest,	Grön
Green Gables,	Grön
Green Gecko,	Grön
Green Golf,	Grön
Green Surf,	Grön
Green dino,	Grön
Greta Gris,	Grå
Grey,	Grå
Grey Blue Hex,	BLÅ
Grey Bow,	Grå
Grey Cloud,	Grå
Grey Crystals,	Grå
Grey Dawn,	Grå
Grey Hound,	Grå
Grey Marble,	Grå
Grey Melange,	Grå
Grey Melange Vitt chassi,	Grå
Grey Melange/Black,	Svart
Grey Mesh,	Grå
Grey Mist,	Grå
Grey Moon,	Grå
Grey White Dots,	Grå
Grey dawn,	Grå
Grey golden collection,	Grå
Grey jacquard,	Grå
Grey melange,	Grå
Grey mist,	Grå
Grey orchid,	Grå
Grey/White Dots,	Grå
Grey/White dots,	Grå
Grey/white dots,	Grå
Greyish green,	Grön
Gris,	Grå
Groda,	Grön
Grå,	Grå
Grå Bambu,	Grå
Grå Björn,	Grå
Grå Cirkus,	Grå
Grå Cloud Grey,	Grå
Grå Cool Grey,	Grå
Grå Elefant,	Grå
Grå Giraff,	Grå
Grå Grey melange,	Grå
Grå Hazy Grey,	Grå
Grå Kanin,	Grå
Grå Kronor,	Grå
Grå Mamma´s pojke,	Grå
Grå Melange,	Grå
Grå Randig,	Grå
Grå Siluett,	Grå
Grå Silver,	Grå
Grå Steel Grey,	Grå
Grå Stjärna,	Grå
Grå Stjärnor,	Grå
Grå Storm Grey,	Grå
Grå Triangel,	Grå
Grå och Vit,	Vit
Grå/Blå,	Blå
Grå/Natur,	Grå
Grå/Rosa,	Flerfärgat
Grå/Vit,	Vit
Grå/lila,	Lila
Grå/röd,	Grå
Grå/svart,	Svart
Gråblå,	Blå
Grålaserad,	Grå
Gråmelerad,	Grå
Grön,	Grön
Grön Beige,	Grön
Grön Clover Green,	Grön
Grön Green Aurora,	Grön
Grön Kamouflage,	Grön
Grön Kanin,	Grön
Grön Natur,	Grön
Grön Oliv,	Grön
Grön Traktor,	Grön
Grön/Beige,	Grön
Grön/Blå,	Blå
Grön/Lila,	Lila
Grön/Orange,	Orange
Grön/Vit,	Flerfärgat
Gul,	Gul
Gul Apa,	Gul
Gul Bil,	Gul
Gul Blomma,	Gul
Gul Panda,	Gul
Gul Prick,	Gul
Gul Prickig,	Gul
Gul Racing Yellow,	Gul
Gul Zick Zack,	Gul
Gul/Svart,	Gul
Guld,	Guld
Guld Enhörning,	Guld
Hacheta,	Grön
Haj,	blå
Hajar,	Grå
Hallon,	ROSA
Hamburgare,	Flerfärgat
Happy Day,	blå
Happy Face,	Vit
Happy Hopper,	Grön
Harbor Mist,	Grå
Harbor mist,	Grå
Hare,	Flerfärgat
Harley Nyckelpiga,	Röd
Harvest,	Gul
Havet,	Flerfärgat
Havsdjur,	blå
Hawaiian Blue,	BLÅ
Hawaiian Ocean,	blÅ
Hawaiian ocean,	blÅ
Hazle,	Brun
Hazy Grey Bok/Vit,	Flerfärgat
Heather Grey,	Grå
Heather Rose,	 ROSA
Heather rose,	ROSA
Hello Sunshine,	ROSA
Herr Nilsson,	Flerfärgat
Herringbone,	ROSA
Hickory Stripe,	blÅ
High Risk Red,	Röd
High risk red,	Röd
Himmel,	blÅ
Hingst,	Flerfärgat
Hinkar,	Flerfärgat
Hippo Grey,	Grå
Hjärtan,	Grå
Hockey, Pingis, Bowling, Curling,	Flerfärgat
Holiday,	Röd
Honey Bunny,	Brun
Honeycomb Calm,	beige
Honeycomb Happy,	beige
Hortensia,	Violett
Hot grey,	Grå
Humble Hugo,	blÅ
Hummingbird,	beige
Hummingbirds,	beige
Hund,	Flerfärgat
Hund Blå,	Blå
Hund Grön,	Grön
Hunter,	Grön
Hunter Green Multi Mix,	Grön
Hurricane,	blå
Husdjur,	Flerfärgat
ICE MINT,	Grön
ICE PINK,	ROSA
ICEY PINK,	ROSA
Ice Blue,	BLÅ
Ice Cream,	Flerfärgat
Iceblue,	BLÅ
Icon Grey,	Grå
Icy blue,	BLÅ
Igelkott,	Brun
Illusion Blue,	BLÅ
Illustrerad,	Flerfärgat
Indian Tan,	Brun
Indigo,	blÅ
Indigo Blue,	BLÅ
Infinity Black,	Svart
Infra Red,	Röd
Inventions,	beige
Ior,	blÅ
Iris,	blÅ
Iron,	Röd
Isbjörn,	Flerfärgat
Isbjörn Blå,	Blå
Island Green,	Grön
Ivory,	beige
Ivy Green,	Grön
Ivy green,	Grön
Jadeite,	Grön
Jakten på guldosten,	Guld
Jeans,	blå
Jeans Blue,	BLÅ
Jeans blue,	BLÅ
Jester Red,	Röd
Jet,	blÅ
Jet Black,	Svart
Jojoba,	beige
Jolly Ebbe,	Grå
Jordgubb,	Flerfärgat
Jordgubbe,	Flerfärgat
Jungle Fever,	blÅ
Junior,	Flerfärgat
Juniper Blue,	BLÅ
Kaffe Latte,	lila
Kaki Risotto,	Grön
Kaki/Beige,	Beige
Kaktus,	Grön
Kalv,	Brun
Kameleont,	Grön
Kammo,	Grön
Kanel,	Flerfärgat
Kanin,	beige
Kanin Blue Wave,	BLÅ
Kanin Blå,	Blå
Kanin Dumbo Grey,	Grå
Kanin Faune Green,	Grön
Kanin Grå,	Grå
Kanin Grå/Vit,	Flerfärgat
Kanin Mustard,	Orange
Kanin Rosa,	ROSA
Kanin Rose,	ROSA
Kanin Vit/Grå,	Grå
Kanin och Ko,	Grå
Kartor,	Flerfärgat
Karusell,	Flerfärgat
Kastanj,	Glu
Katt,	ROSA
Katt Dark Rose,	ROSA
Katt Rose,	ROSA
Katt och Hund,	Flerfärgat
Keepsake Lilac,	Lila
Khaki,	Grön
Khaki Green,	Grön
Khaki green,	Grön
Kindly Konrad,	beige
Kindness Cat,	Grå
Kindred Kangaroo,	beige
Kindy,	Röd
Klargul,	Gul
Klarröd,	Röd
Klement Berry,	Violett
Klockbok,	blå
Klumpe Dumpe,	Flerfärgat
Knockout Pink,	ROSA
Ko,	Flerfärgat
Ko Rosa,	ROSA
Kontrast,	Flerfärgat
Koppargrön,	Grön
Koppargrön/Mint,	Grön
Korall,	ROSA
Korall/Rosa,	ROSA
Korg,	beige
Kortspel,	Flerfärgat
Kossa,	Vit
Krabba,	Röd
Kristallpärlor,	blå
Krokodil,	Grön
Kroppen,	Flerfärgat
Lagoon,	blå
Lama,	beige
Lamm,	beige
Lantana,	ROSA
Large,	Grå
Laughing Luna,	Flerfärgat
Lava lamp lime,	blå
Lavastone Black,	Svart
Lavendel,	Violett
Lavender & Yellow,	Gul
Lead,	Grön
Leap Frog,	Grön
Leaves,	Grön
Lejon,	beige
Lejon och Elefant,	Gul
Lemon Yellow,	Gul
Leo,	Gul
Leo Green,	Grön
Leo Off-White,	Vit
Leonardo,	Flerfärgat
Leopard,	beige
Leprechaun,	Grön
Liberty Floral Mini,	ROSA
Light Beige,	Beige
Light Blue,	BLÅ
Light Blue Denim,	BLÅ
Light Brown,	Brun
Light Dusty Blue,	BLÅ
Light Grey,	Grå
Light Grey Melange,	Grå
Light Pink,	ROSA
Light Rose,	ROSA
Light Shadow,	Grön
Light Turquoise,	blÅ
Light blue,	BLÅ
Light blue denim,	BLÅ
Light green,	Grön
Light grey melange,	Grå
Light pink,	ROSA
Light rose,	ROSA
Lightblue,	BLÅ
Lightrose,	ROSA
Lila,	Lila
Lila Hjärtan,	Lila
Lila Mineral Purple,	Lila
Lila Orkide,	Lila
Lila/Grön,	Flerfärgat
Lila/Pastell,	Lila
Lila/Turkos,	Lila
Lilac,	Lila
Lilac Grey,	Lila
Lilac ash,	Lila
Lilas,	Lila
Lilla My Blommor,	ROSA
Lille Skutt,	Flerfärgat
Lille skutt,	Flerfärgat
Lillebror,	blÅ
Lime,	Grön
Limelight,	Glu
Limelight Pineapples,	Grön
Limestone,	Grå
Lindblomsgrön,	Grön
Linen Beige,	Beige
Lion,	Beige
Lionel,	Grå
Litet Hjärta,	Grå
Little Anna,	Flerfärgat
Little Dot Rose,	ROSA
Little Driver,	blÅ
Livet i havet,	blÅ
Lizard Khaki,	Grön
Ljusbeige,	Beige
Ljusblå,	BLÅ
Ljusblå Aqua Blue,	BLÅ
Ljusblå Denim,	BLÅ
